time, humidity, ambient_temp, m8_temp, m5_temp
2022-04-17_12-16-09, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-13, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-17, 43.800000, 25.000000, 25.060000, 24.940000
2022-04-17_12-16-21, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-25, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-29, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-33, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-37, 43.800000, 25.000000, 25.060000, 24.940000
2022-04-17_12-16-42, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-46, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-50, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-54, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-16-58, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-02, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-06, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-10, 43.700000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-14, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-19, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-23, 43.800000, 24.900000, 25.000000, 24.940000
2022-04-17_12-17-27, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-31, 43.800000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-35, 44.000000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-39, 44.000000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-43, 44.000000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-47, 44.000000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-51, 44.000000, 24.900000, 25.060000, 24.940000
2022-04-17_12-17-55, 43.900000, 24.900000, 25.060000, 25.000000
2022-04-17_12-18-00, 43.900000, 24.900000, 25.060000, 24.940000
2022-04-17_12-18-04, 43.900000, 24.900000, 25.060000, 24.940000
2022-04-17_12-18-08, 43.900000, 24.900000, 25.060000, 24.940000
2022-04-17_12-18-12, 43.900000, 24.900000, 25.060000, 24.940000
2022-04-17_12-18-16, 43.900000, 24.900000, 25.060000, 24.940000
2022-04-17_12-18-20, 43.900000, 24.900000, 25.060000, 24.940000
2022-04-17_12-18-24, 43.900000, 24.900000, 25.060000, 24.940000
2022-04-17_12-18-28, 44.000000, 24.900000, 25.120000, 25.000000
2022-04-17_12-18-32, 44.000000, 24.900000, 25.190000, 25.060000
2022-04-17_12-18-37, 44.000000, 24.900000, 25.250000, 25.120000
2022-04-17_12-18-41, 44.000000, 24.900000, 25.250000, 25.190000
2022-04-17_12-18-45, 44.100000, 24.900000, 25.310000, 25.250000
2022-04-17_12-18-49, 44.500000, 24.900000, 25.370000, 25.250000
2022-04-17_12-18-53, 44.600000, 24.900000, 25.440000, 25.250000
2022-04-17_12-18-57, 44.500000, 25.000000, 25.440000, 25.310000
2022-04-17_12-19-01, 44.300000, 24.900000, 25.440000, 25.370000
2022-04-17_12-19-05, 44.200000, 24.900000, 25.440000, 25.370000
2022-04-17_12-19-09, 44.300000, 24.900000, 25.440000, 25.370000
2022-04-17_12-19-14, 44.300000, 25.000000, 25.500000, 25.370000
2022-04-17_12-19-18, 44.300000, 24.900000, 25.500000, 25.440000
2022-04-17_12-19-22, 44.300000, 25.000000, 25.500000, 25.440000
2022-04-17_12-19-26, 44.300000, 24.900000, 25.500000, 25.440000
2022-04-17_12-19-30, 44.300000, 24.900000, 25.500000, 25.440000
2022-04-17_12-19-34, 44.300000, 25.000000, 25.500000, 25.440000
2022-04-17_12-19-38, 44.200000, 25.000000, 25.560000, 25.440000
2022-04-17_12-19-42, 44.100000, 25.000000, 25.560000, 25.440000
2022-04-17_12-19-46, 44.000000, 25.000000, 25.560000, 25.440000
2022-04-17_12-19-50, 44.000000, 25.000000, 25.560000, 25.500000
2022-04-17_12-19-55, 44.000000, 25.000000, 25.560000, 25.500000
2022-04-17_12-19-59, 44.200000, 25.000000, 25.560000, 25.440000
2022-04-17_12-20-03, 44.100000, 25.000000, 25.500000, 25.370000
2022-04-17_12-20-07, 44.200000, 25.000000, 25.440000, 25.370000
2022-04-17_12-20-11, 44.400000, 25.000000, 25.440000, 25.370000
2022-04-17_12-20-15, 44.300000, 25.000000, 25.440000, 25.310000
2022-04-17_12-20-19, 44.300000, 25.000000, 25.370000, 25.310000
2022-04-17_12-20-23, 44.300000, 25.000000, 25.370000, 25.250000
2022-04-17_12-20-27, 44.200000, 25.000000, 25.310000, 25.250000
2022-04-17_12-20-32, 44.200000, 25.000000, 25.250000, 25.190000
2022-04-17_12-20-36, 44.100000, 25.000000, 25.250000, 25.120000
2022-04-17_12-20-40, 44.100000, 25.000000, 25.190000, 25.060000
2022-04-17_12-20-44, 44.000000, 25.000000, 25.120000, 25.000000
2022-04-17_12-20-48, 44.000000, 25.000000, 25.060000, 25.000000
2022-04-17_12-20-52, 44.000000, 25.000000, 25.000000, 24.940000
2022-04-17_12-20-56, 44.100000, 25.000000, 24.940000, 24.870000
2022-04-17_12-21-00, 44.000000, 25.000000, 24.870000, 24.810000
2022-04-17_12-21-04, 44.100000, 25.000000, 24.810000, 24.750000
2022-04-17_12-21-09, 44.400000, 25.000000, 24.690000, 24.690000
2022-04-17_12-21-13, 44.600000, 25.000000, 24.620000, 24.560000
2022-04-17_12-21-17, 44.700000, 25.000000, 24.560000, 24.500000
2022-04-17_12-21-21, 44.400000, 25.000000, 24.440000, 24.440000
2022-04-17_12-21-25, 44.400000, 25.100000, 24.370000, 24.310000
2022-04-17_12-21-29, 44.400000, 25.000000, 24.250000, 24.190000
2022-04-17_12-21-33, 44.600000, 25.000000, 24.120000, 24.120000
2022-04-17_12-21-37, 44.600000, 25.100000, 24.060000, 24.000000
2022-04-17_12-21-41, 44.600000, 25.100000, 23.940000, 23.940000
2022-04-17_12-21-45, 44.500000, 25.000000, 23.810000, 23.810000
2022-04-17_12-21-50, 44.400000, 25.100000, 23.750000, 23.690000
2022-04-17_12-21-54, 44.300000, 25.100000, 23.620000, 23.560000
2022-04-17_12-21-58, 44.100000, 25.000000, 23.500000, 23.500000
2022-04-17_12-22-02, 44.100000, 25.100000, 23.370000, 23.370000
2022-04-17_12-22-06, 44.000000, 25.100000, 23.250000, 23.250000
2022-04-17_12-22-10, 44.100000, 25.100000, 23.120000, 23.120000
2022-04-17_12-22-14, 44.200000, 25.100000, 23.000000, 23.000000
2022-04-17_12-22-18, 44.100000, 25.100000, 22.870000, 22.870000
2022-04-17_12-22-22, 44.000000, 25.100000, 22.750000, 22.810000
2022-04-17_12-22-27, 43.900000, 25.000000, 22.620000, 22.620000
2022-04-17_12-22-31, 43.900000, 25.000000, 22.500000, 22.500000
2022-04-17_12-22-35, 44.000000, 25.000000, 22.370000, 22.370000
2022-04-17_12-22-39, 44.000000, 25.000000, 22.250000, 22.250000
2022-04-17_12-22-43, 44.100000, 25.100000, 22.120000, 22.190000
2022-04-17_12-22-47, 44.100000, 25.100000, 22.000000, 22.000000
2022-04-17_12-22-51, 44.200000, 25.100000, 21.870000, 21.870000
2022-04-17_12-22-55, 44.200000, 25.100000, 21.750000, 21.810000
2022-04-17_12-22-59, 44.100000, 25.100000, 21.620000, 21.620000
2022-04-17_12-23-04, 44.000000, 25.100000, 21.500000, 21.500000
2022-04-17_12-23-08, 43.900000, 25.100000, 21.370000, 21.370000
2022-04-17_12-23-12, 43.800000, 25.000000, 21.190000, 21.250000
2022-04-17_12-23-16, 43.800000, 25.100000, 21.060000, 21.120000
2022-04-17_12-23-20, 43.800000, 25.100000, 21.000000, 21.000000
2022-04-17_12-23-24, 43.800000, 25.100000, 20.870000, 20.870000
2022-04-17_12-23-28, 43.700000, 25.000000, 20.690000, 20.750000
2022-04-17_12-23-32, 43.800000, 25.100000, 20.560000, 20.620000
2022-04-17_12-23-36, 43.800000, 25.000000, 20.440000, 20.500000
2022-04-17_12-23-40, 44.000000, 25.100000, 20.310000, 20.310000
2022-04-17_12-23-45, 44.300000, 25.100000, 20.190000, 20.190000
2022-04-17_12-23-49, 44.200000, 25.100000, 20.060000, 20.120000
2022-04-17_12-23-53, 44.100000, 25.100000, 19.870000, 19.940000
2022-04-17_12-23-57, 44.000000, 25.100000, 19.750000, 19.870000
2022-04-17_12-24-01, 43.800000, 25.000000, 19.620000, 19.690000
2022-04-17_12-24-05, 43.800000, 25.100000, 19.560000, 19.560000
2022-04-17_12-24-09, 43.800000, 25.100000, 19.370000, 19.500000
2022-04-17_12-24-13, 43.800000, 25.100000, 19.250000, 19.310000
2022-04-17_12-24-17, 43.800000, 25.100000, 19.120000, 19.190000
2022-04-17_12-24-22, 43.800000, 25.100000, 19.000000, 19.120000
2022-04-17_12-24-26, 43.700000, 25.000000, 18.870000, 18.940000
2022-04-17_12-24-30, 43.800000, 25.100000, 18.690000, 18.810000
2022-04-17_12-24-34, 43.800000, 25.100000, 18.620000, 18.690000
2022-04-17_12-24-38, 43.800000, 25.100000, 18.500000, 18.560000
2022-04-17_12-24-42, 43.700000, 25.000000, 18.310000, 18.440000
2022-04-17_12-24-46, 43.800000, 25.100000, 18.190000, 18.310000
2022-04-17_12-24-50, 43.800000, 25.100000, 18.060000, 18.190000
2022-04-17_12-24-54, 43.700000, 25.100000, 17.940000, 18.060000
2022-04-17_12-24-59, 43.700000, 25.000000, 17.810000, 17.940000
2022-04-17_12-25-03, 43.800000, 25.100000, 17.690000, 17.810000
2022-04-17_12-25-07, 43.800000, 25.100000, 17.560000, 17.690000
2022-04-17_12-25-11, 43.800000, 25.100000, 17.500000, 17.560000
2022-04-17_12-25-15, 43.700000, 25.000000, 17.370000, 17.440000
2022-04-17_12-25-19, 43.800000, 25.000000, 17.250000, 17.310000
2022-04-17_12-25-23, 43.800000, 25.000000, 17.060000, 17.190000
2022-04-17_12-25-27, 43.800000, 25.000000, 17.000000, 17.060000
2022-04-17_12-25-31, 43.800000, 25.000000, 16.810000, 16.940000
2022-04-17_12-25-35, 43.800000, 25.000000, 16.690000, 16.810000
2022-04-17_12-25-40, 43.800000, 25.000000, 16.560000, 16.690000
2022-04-17_12-25-44, 43.800000, 25.000000, 16.440000, 16.620000
2022-04-17_12-25-48, 43.800000, 25.100000, 16.310000, 16.440000
2022-04-17_12-25-52, 43.800000, 25.000000, 16.250000, 16.310000
2022-04-17_12-25-56, 43.700000, 25.000000, 16.120000, 16.250000
2022-04-17_12-26-00, 43.800000, 25.100000, 16.000000, 16.120000
2022-04-17_12-26-04, 43.700000, 25.000000, 15.880000, 16.000000
2022-04-17_12-26-08, 43.800000, 25.000000, 15.750000, 15.940000
2022-04-17_12-26-12, 43.800000, 25.100000, 15.690000, 15.810000
2022-04-17_12-26-17, 43.900000, 25.000000, 15.560000, 15.690000
2022-04-17_12-26-21, 44.000000, 25.000000, 15.440000, 15.500000
2022-04-17_12-26-25, 44.100000, 25.100000, 15.310000, 15.440000
2022-04-17_12-26-29, 44.200000, 25.100000, 15.250000, 15.310000
2022-04-17_12-26-33, 44.200000, 25.100000, 15.130000, 15.250000
