time, humidity, ambient_temp, m8_temp, m5_temp
2022-04-14_14-01-23, 49.900000, 24.500000, 20.440000, 21.000000
2022-04-14_14-01-27, 49.900000, 24.600000, 20.250000, 20.810000
2022-04-14_14-01-31, 49.900000, 24.500000, 20.120000, 20.690000
2022-04-14_14-01-35, 50.000000, 24.500000, 19.940000, 20.500000
2022-04-14_14-01-39, 50.000000, 24.500000, 19.870000, 20.440000
2022-04-14_14-01-43, 49.900000, 24.500000, 19.690000, 20.250000
2022-04-14_14-01-47, 50.000000, 24.500000, 19.560000, 20.120000
2022-04-14_14-01-51, 50.000000, 24.500000, 19.440000, 20.000000
2022-04-14_14-01-56, 50.000000, 24.500000, 19.250000, 19.870000
2022-04-14_14-02-00, 50.200000, 24.500000, 19.120000, 19.750000
2022-04-14_14-02-04, 50.300000, 24.500000, 19.000000, 19.620000
2022-04-14_14-02-08, 50.500000, 24.500000, 18.870000, 19.440000
2022-04-14_14-02-12, 50.400000, 24.500000, 18.750000, 19.370000
2022-04-14_14-02-16, 50.400000, 24.500000, 18.560000, 19.190000
2022-04-14_14-02-20, 50.500000, 24.500000, 18.440000, 19.120000
2022-04-14_14-02-24, 50.500000, 24.500000, 18.310000, 18.940000
2022-04-14_14-02-28, 50.400000, 24.500000, 18.190000, 18.810000
2022-04-14_14-02-32, 50.400000, 24.500000, 18.000000, 18.690000
2022-04-14_14-02-37, 50.500000, 24.500000, 17.870000, 18.560000
2022-04-14_14-02-41, 50.400000, 24.500000, 17.750000, 18.440000
2022-04-14_14-02-45, 50.400000, 24.500000, 17.620000, 18.310000
2022-04-14_14-02-49, 50.300000, 24.400000, 17.500000, 18.120000
2022-04-14_14-02-53, 50.100000, 24.400000, 17.370000, 18.000000
2022-04-14_14-02-57, 50.200000, 24.500000, 17.190000, 17.870000
2022-04-14_14-03-01, 50.300000, 24.400000, 17.060000, 17.810000
2022-04-14_14-03-05, 50.500000, 24.400000, 16.940000, 17.690000
2022-04-14_14-03-09, 50.500000, 24.400000, 16.750000, 17.560000
2022-04-14_14-03-14, 50.500000, 24.400000, 16.620000, 17.500000
2022-04-14_14-03-18, 50.500000, 24.400000, 16.560000, 17.310000
2022-04-14_14-03-22, 50.600000, 24.400000, 16.370000, 17.190000
2022-04-14_14-03-26, 50.600000, 24.400000, 16.250000, 17.060000
2022-04-14_14-03-30, 50.600000, 24.400000, 16.120000, 16.940000
2022-04-14_14-03-34, 50.600000, 24.400000, 16.000000, 16.810000
2022-04-14_14-03-38, 50.600000, 24.400000, 15.880000, 16.620000
2022-04-14_14-03-42, 50.600000, 24.400000, 15.750000, 16.500000
2022-04-14_14-03-46, 50.500000, 24.400000, 15.630000, 16.370000
2022-04-14_14-03-51, 50.500000, 24.400000, 15.690000, 16.250000
2022-04-14_14-03-55, 50.500000, 24.400000, 15.560000, 16.120000
2022-04-14_14-03-59, 50.500000, 24.400000, 15.380000, 16.000000
2022-04-14_14-04-03, 50.500000, 24.400000, 15.190000, 15.810000
2022-04-14_14-04-07, 50.700000, 24.400000, 15.000000, 15.690000
2022-04-14_14-04-11, 50.500000, 24.300000, 14.880000, 15.560000
2022-04-14_14-04-15, 50.300000, 24.400000, 14.750000, 15.440000
2022-04-14_14-04-19, 50.200000, 24.400000, 14.630000, 15.310000
2022-04-14_14-04-23, 50.200000, 24.300000, 14.440000, 15.250000
2022-04-14_14-04-27, 50.400000, 24.400000, 14.380000, 15.130000
2022-04-14_14-04-32, 50.400000, 24.300000, 14.190000, 15.000000
2022-04-14_14-04-36, 50.500000, 24.300000, 14.130000, 14.880000
2022-04-14_14-04-40, 50.500000, 24.300000, 14.000000, 14.750000
2022-04-14_14-04-44, 50.500000, 24.400000, 13.880000, 14.630000
2022-04-14_14-04-48, 50.400000, 24.300000, 13.750000, 14.500000
2022-04-14_14-04-52, 50.400000, 24.300000, 13.630000, 14.380000
2022-04-14_14-04-56, 50.400000, 24.300000, 13.560000, 14.250000
2022-04-14_14-05-00, 50.300000, 24.300000, 13.440000, 14.130000
2022-04-14_14-05-04, 50.300000, 24.300000, 13.380000, 14.000000
2022-04-14_14-05-09, 50.100000, 24.300000, 13.250000, 13.940000
2022-04-14_14-05-13, 50.300000, 24.300000, 13.130000, 13.880000
2022-04-14_14-05-17, 50.300000, 24.300000, 13.000000, 13.750000
2022-04-14_14-05-21, 50.400000, 24.300000, 12.880000, 13.630000
2022-04-14_14-05-25, 50.400000, 24.300000, 12.750000, 13.500000
2022-04-14_14-05-29, 50.500000, 24.300000, 12.630000, 13.440000
2022-04-14_14-05-33, 50.500000, 24.300000, 12.500000, 13.310000
2022-04-14_14-05-37, 50.300000, 24.300000, 12.380000, 13.190000
2022-04-14_14-05-41, 50.200000, 24.300000, 12.250000, 13.130000
2022-04-14_14-05-46, 49.900000, 24.300000, 12.130000, 13.000000
2022-04-14_14-05-50, 49.800000, 24.300000, 12.060000, 12.940000
2022-04-14_14-05-54, 49.800000, 24.300000, 11.940000, 12.810000
2022-04-14_14-05-58, 49.800000, 24.300000, 11.810000, 12.690000
2022-04-14_14-06-02, 49.800000, 24.300000, 11.750000, 12.630000
2022-04-14_14-06-06, 49.800000, 24.300000, 11.630000, 12.500000
2022-04-14_14-06-10, 49.800000, 24.300000, 11.560000, 12.380000
2022-04-14_14-06-14, 50.000000, 24.300000, 11.440000, 12.310000
2022-04-14_14-06-18, 50.100000, 24.300000, 11.310000, 12.190000
2022-04-14_14-06-22, 50.300000, 24.300000, 11.190000, 12.130000
2022-04-14_14-06-27, 50.500000, 24.300000, 11.130000, 12.000000
2022-04-14_14-06-31, 50.600000, 24.300000, 11.060000, 11.880000
2022-04-14_14-06-35, 50.600000, 24.300000, 10.880000, 11.810000
2022-04-14_14-06-39, 50.400000, 24.300000, 10.810000, 11.690000
2022-04-14_14-06-43, 50.200000, 24.300000, 10.690000, 11.630000
2022-04-14_14-06-47, 50.200000, 24.300000, 10.630000, 11.500000
2022-04-14_14-06-51, 49.800000, 24.300000, 10.500000, 11.380000
2022-04-14_14-06-55, 49.800000, 24.200000, 10.440000, 11.310000
2022-04-14_14-06-59, 49.800000, 24.200000, 10.380000, 11.190000
2022-04-14_14-07-04, 50.100000, 24.200000, 10.440000, 11.130000
2022-04-14_14-07-08, 49.900000, 24.200000, 10.500000, 11.130000
2022-04-14_14-07-12, 50.000000, 24.200000, 10.630000, 11.060000
2022-04-14_14-07-16, 50.000000, 24.200000, 10.690000, 11.130000
2022-04-14_14-07-20, 50.100000, 24.200000, 10.810000, 11.190000
2022-04-14_14-07-24, 50.300000, 24.100000, 10.940000, 11.250000
2022-04-14_14-07-28, 50.600000, 24.100000, 11.000000, 11.310000
2022-04-14_14-07-32, 50.800000, 24.100000, 11.060000, 11.380000
2022-04-14_14-07-36, 50.900000, 24.200000, 11.130000, 11.380000
2022-04-14_14-07-40, 50.800000, 24.100000, 11.190000, 11.440000
2022-04-14_14-07-45, 50.900000, 24.100000, 11.190000, 11.500000
2022-04-14_14-07-49, 51.100000, 24.100000, 11.250000, 11.560000
2022-04-14_14-07-53, 51.200000, 24.200000, 11.310000, 11.630000
2022-04-14_14-07-57, 51.100000, 24.100000, 11.380000, 11.630000
2022-04-14_14-08-01, 51.200000, 24.100000, 11.380000, 11.690000
2022-04-14_14-08-05, 51.000000, 24.100000, 11.440000, 11.750000
2022-04-14_14-08-09, 50.800000, 24.200000, 11.440000, 11.750000
2022-04-14_14-08-13, 50.600000, 24.200000, 11.440000, 11.810000
2022-04-14_14-08-17, 50.600000, 24.200000, 11.500000, 11.810000
