time, humidity, ambient_temp, m8_temp, m5_temp, dew point
2022-05-01_13-20-51, 45.800000, 25.000000, 16.690000, 16.690000, 12.512910
2022-05-01_13-20-55, 45.800000, 25.000000, 16.620000, 16.620000, 12.512910
2022-05-01_13-20-59, 45.800000, 24.900000, 16.560000, 16.560000, 12.422009
2022-05-01_13-21-03, 45.800000, 25.000000, 16.370000, 16.500000, 12.512910
2022-05-01_13-21-07, 45.800000, 24.900000, 16.310000, 16.370000, 12.422009
2022-05-01_13-21-11, 45.800000, 25.000000, 16.190000, 16.250000, 12.512910
2022-05-01_13-21-15, 45.800000, 25.000000, 16.120000, 16.190000, 12.512910
2022-05-01_13-21-19, 45.800000, 24.900000, 16.000000, 16.120000, 12.422009
2022-05-01_13-21-23, 45.800000, 24.900000, 15.940000, 16.000000, 12.422009
2022-05-01_13-21-27, 45.800000, 25.000000, 15.810000, 15.940000, 12.512910
2022-05-01_13-21-32, 45.800000, 24.900000, 15.750000, 15.810000, 12.422009
2022-05-01_13-21-36, 45.800000, 25.000000, 15.690000, 15.690000, 12.512910
2022-05-01_13-21-40, 45.800000, 24.900000, 15.560000, 15.630000, 12.422009
2022-05-01_13-21-44, 45.800000, 24.900000, 15.440000, 15.500000, 12.422009
2022-05-01_13-21-48, 45.800000, 24.900000, 15.380000, 15.440000, 12.422009
2022-05-01_13-21-52, 45.900000, 24.900000, 15.310000, 15.310000, 12.455241
2022-05-01_13-21-56, 45.900000, 25.000000, 15.250000, 15.310000, 12.546166
2022-05-01_13-22-00, 45.900000, 25.000000, 15.250000, 15.310000, 12.546166
2022-05-01_13-22-04, 45.900000, 25.000000, 15.310000, 15.310000, 12.546166
2022-05-01_13-22-09, 45.900000, 25.000000, 15.380000, 15.380000, 12.546166
2022-05-01_13-22-13, 45.800000, 25.000000, 15.440000, 15.380000, 12.512910
2022-05-01_13-22-17, 45.900000, 25.000000, 15.560000, 15.500000, 12.546166
2022-05-01_13-22-21, 45.800000, 25.000000, 15.630000, 15.560000, 12.512910
2022-05-01_13-22-25, 45.900000, 25.000000, 15.750000, 15.690000, 12.546166
2022-05-01_13-22-29, 45.800000, 25.000000, 15.880000, 15.810000, 12.512910
2022-05-01_13-22-33, 45.900000, 25.000000, 16.000000, 15.880000, 12.546166
2022-05-01_13-22-37, 45.800000, 25.000000, 16.060000, 16.000000, 12.512910
2022-05-01_13-22-41, 45.900000, 25.000000, 16.190000, 16.120000, 12.546166
2022-05-01_13-22-46, 45.800000, 25.000000, 16.250000, 16.190000, 12.512910
2022-05-01_13-22-50, 45.800000, 24.900000, 16.310000, 16.250000, 12.422009
2022-05-01_13-22-54, 45.800000, 25.000000, 16.440000, 16.370000, 12.512910
2022-05-01_13-22-58, 45.800000, 25.000000, 16.560000, 16.440000, 12.512910
2022-05-01_13-23-02, 45.800000, 25.000000, 16.620000, 16.500000, 12.512910
2022-05-01_13-23-06, 45.800000, 24.900000, 16.690000, 16.620000, 12.422009
2022-05-01_13-23-10, 45.800000, 24.900000, 16.750000, 16.690000, 12.422009
2022-05-01_13-23-14, 45.800000, 25.000000, 16.810000, 16.750000, 12.512910
2022-05-01_13-23-18, 45.800000, 24.900000, 16.940000, 16.870000, 12.422009
2022-05-01_13-23-22, 45.900000, 25.000000, 17.000000, 16.870000, 12.546166
2022-05-01_13-23-27, 45.800000, 25.000000, 17.060000, 17.000000, 12.512910
2022-05-01_13-23-31, 45.900000, 25.000000, 17.120000, 17.000000, 12.546166
2022-05-01_13-23-35, 45.700000, 24.900000, 17.190000, 17.120000, 12.388712
2022-05-01_13-23-39, 45.800000, 24.900000, 17.190000, 17.120000, 12.422009
2022-05-01_13-23-43, 45.800000, 24.900000, 17.250000, 17.190000, 12.422009
2022-05-01_13-23-47, 45.800000, 24.900000, 17.250000, 17.190000, 12.422009
2022-05-01_13-23-51, 45.800000, 24.900000, 17.250000, 17.190000, 12.422009
2022-05-01_13-23-55, 45.900000, 25.000000, 17.250000, 17.190000, 12.546166
2022-05-01_13-23-59, 45.800000, 24.900000, 17.190000, 17.190000, 12.422009
2022-05-01_13-24-04, 45.800000, 24.900000, 17.190000, 17.120000, 12.422009
2022-05-01_13-24-08, 45.800000, 24.900000, 17.120000, 17.060000, 12.422009
2022-05-01_13-24-12, 45.800000, 24.900000, 17.060000, 17.000000, 12.422009
2022-05-01_13-24-16, 45.800000, 24.900000, 17.000000, 17.000000, 12.422009
2022-05-01_13-24-20, 45.900000, 24.900000, 16.940000, 16.870000, 12.455241
2022-05-01_13-24-24, 45.900000, 24.900000, 16.870000, 16.870000, 12.455241
2022-05-01_13-24-28, 45.900000, 24.900000, 16.810000, 16.750000, 12.455241
2022-05-01_13-24-32, 45.900000, 24.900000, 16.750000, 16.690000, 12.455241
2022-05-01_13-24-36, 45.900000, 24.900000, 16.620000, 16.620000, 12.455241
2022-05-01_13-24-40, 45.900000, 24.900000, 16.560000, 16.500000, 12.455241
2022-05-01_13-24-45, 45.900000, 24.900000, 16.440000, 16.440000, 12.455241
2022-05-01_13-24-49, 45.900000, 24.900000, 16.310000, 16.370000, 12.455241
2022-05-01_13-24-53, 45.900000, 24.900000, 16.250000, 16.310000, 12.455241
2022-05-01_13-24-57, 45.900000, 24.900000, 16.120000, 16.190000, 12.455241
2022-05-01_13-25-01, 45.900000, 25.000000, 16.060000, 16.060000, 12.546166
2022-05-01_13-25-05, 45.900000, 25.000000, 15.940000, 16.000000, 12.546166
2022-05-01_13-25-09, 45.900000, 25.000000, 15.880000, 15.880000, 12.546166
2022-05-01_13-25-13, 45.900000, 25.000000, 15.750000, 15.810000, 12.546166
2022-05-01_13-25-17, 45.900000, 24.900000, 15.690000, 15.690000, 12.455241
2022-05-01_13-25-22, 45.900000, 25.000000, 15.560000, 15.630000, 12.546166
2022-05-01_13-25-26, 45.900000, 25.000000, 15.440000, 15.500000, 12.546166
2022-05-01_13-25-30, 45.800000, 25.000000, 15.380000, 15.440000, 12.512910
2022-05-01_13-25-34, 45.800000, 25.000000, 15.310000, 15.380000, 12.512910
2022-05-01_13-25-38, 45.700000, 24.900000, 15.310000, 15.310000, 12.388712
2022-05-01_13-25-42, 45.800000, 24.900000, 15.380000, 15.380000, 12.422009
2022-05-01_13-25-46, 45.800000, 25.000000, 15.440000, 15.440000, 12.512910
2022-05-01_13-25-50, 45.800000, 25.000000, 15.560000, 15.440000, 12.512910
2022-05-01_13-25-54, 45.800000, 25.000000, 15.560000, 15.500000, 12.512910
2022-05-01_13-25-59, 45.800000, 25.000000, 15.690000, 15.690000, 12.512910
2022-05-01_13-26-03, 45.800000, 25.000000, 15.750000, 15.750000, 12.512910
2022-05-01_13-26-07, 45.800000, 25.000000, 15.880000, 15.810000, 12.512910
2022-05-01_13-26-11, 45.800000, 25.000000, 16.000000, 15.940000, 12.512910
