time, humidity, ambient_temp, m8_temp, m5_temp
2022-04-10_12-59-33, 27.800000, 25.700000, 25.690000, 25.560000
2022-04-10_12-59-38, 27.800000, 25.700000, 25.690000, 25.620000
2022-04-10_12-59-42, 27.900000, 25.800000, 25.690000, 25.560000
2022-04-10_12-59-46, 27.900000, 25.800000, 25.690000, 25.620000
2022-04-10_12-59-50, 27.900000, 25.800000, 25.690000, 25.560000
2022-04-10_12-59-54, 27.900000, 25.800000, 25.690000, 25.620000
2022-04-10_12-59-58, 27.800000, 25.700000, 25.690000, 25.560000
2022-04-10_13-00-02, 27.900000, 25.800000, 25.690000, 25.620000
2022-04-10_13-00-06, 27.900000, 25.800000, 25.690000, 25.560000
2022-04-10_13-00-10, 27.900000, 25.800000, 25.690000, 25.560000
